"probeID"	"GeneSymbol"
"11715853_a_at"	"PDGFRB"
"11715854_at"	"PDGFRB"
"11715855_a_at"	"PRCP"
"11715856_s_at"	"PRCP"
"11715857_a_at"	"NCKAP1"
"11715858_s_at"	"NCKAP1"
"11715859_at"	"RIC8A"
"11715860_a_at"	"RIC8A"
"11715861_a_at"	"ACTN4"
"11715862_x_at"	"CDIPT"
"11715863_x_at"	"DDAH2"
"11715864_a_at"	"HACD3"
"11715865_a_at"	"ATP6V1F"
"11715866_x_at"	"ATP6V1F"
"11715867_x_at"	"MRPL41"
"11715868_a_at"	"TINF2"
"11715869_x_at"	"TINF2"
"11715870_a_at"	"UFD1L"
"11715871_a_at"	"UFD1L"
"11715872_at"	"ZFAND3"
"11715873_a_at"	"OLFML3"
"11715874_s_at"	"ATP5H"
"11715875_a_at"	"COMMD7"
"11715876_at"	"P2RX5-TAX1BP3"
"11715876_at"	"TAX1BP3"
"11715877_s_at"	"CDK2AP1"
"11715878_a_at"	"PITPNA"
"11715879_a_at"	"PITPNA"
"11715880_a_at"	"PITPNA"
"11715881_a_at"	"DAP3"
"11715882_s_at"	"DAP3"
"11715883_x_at"	"DAP3"
"11715884_a_at"	"TMEM248"
"11715885_at"	"TMEM248"
"11715886_at"	"PIP4K2B"
